R U R3 U; 90-degree Gear Rotation (2)
R U R3 U'3; 90-degree Gear Rotation (2)
R U R3 F; 90-degree Gear Rotation (2)
R U R3 F'3; 90-degree Gear Rotation (2)
R U L3 U; 90-degree Gear Rotation (2)
R U L3 U'3; 90-degree Gear Rotation (2)
R U L3 B; 90-degree Gear Rotation (2)
R U L3 B'3; 90-degree Gear Rotation (2)
R U F3 U; 90-degree Gear Rotation (2)
R U F3 U'3; 90-degree Gear Rotation (2)
R U B3 U; 90-degree Gear Rotation (2)
R U B3 U'3; 90-degree Gear Rotation (2)
R U3 R'3 U3; 90-degree Gear Rotation (2)
R U3 R'3 U'; 90-degree Gear Rotation (2)
R U3 R'3 B3; 90-degree Gear Rotation (2)
R U3 R'3 B'; 90-degree Gear Rotation (2)
R U3 L'3 U3; 90-degree Gear Rotation (2)
R U3 L'3 U'; 90-degree Gear Rotation (2)
R U3 L'3 F3; 90-degree Gear Rotation (2)
R U3 L'3 F'; 90-degree Gear Rotation (2)
R U3 F'3 U3; 90-degree Gear Rotation (2)
R U3 F'3 U'; 90-degree Gear Rotation (2)
R U3 B'3 U3; 90-degree Gear Rotation (2)
R U3 B'3 U'; 90-degree Gear Rotation (2)
R U' R'3 U3; 90-degree Gear Rotation (2)
R U' R'3 U'; 90-degree Gear Rotation (2)
R U' R'3 B3; 90-degree Gear Rotation (2)
R U' R'3 B'; 90-degree Gear Rotation (2)
R U' L'3 U3; 90-degree Gear Rotation (2)
R U' L'3 U'; 90-degree Gear Rotation (2)
R U' L'3 F3; 90-degree Gear Rotation (2)
R U' L'3 F'; 90-degree Gear Rotation (2)
R U' F'3 U3; 90-degree Gear Rotation (2)
R U' F'3 U'; 90-degree Gear Rotation (2)
R U' B'3 U3; 90-degree Gear Rotation (2)
R U' B'3 U'; 90-degree Gear Rotation (2)
R U'3 R3 U; 90-degree Gear Rotation (2)
R U'3 R3 U'3; 90-degree Gear Rotation (2)
R U'3 R3 F; 90-degree Gear Rotation (2)
R U'3 R3 F'3; 90-degree Gear Rotation (2)
R U'3 L3 U; 90-degree Gear Rotation (2)
R U'3 L3 U'3; 90-degree Gear Rotation (2)
R U'3 L3 B; 90-degree Gear Rotation (2)
R U'3 L3 B'3; 90-degree Gear Rotation (2)
R U'3 F3 U; 90-degree Gear Rotation (2)
R U'3 F3 U'3; 90-degree Gear Rotation (2)
R U'3 B3 U; 90-degree Gear Rotation (2)
R U'3 B3 U'3; 90-degree Gear Rotation (2)
R D R3 D; 90-degree Gear Rotation (2)
R D R3 D'3; 90-degree Gear Rotation (2)
R D R3 B; 90-degree Gear Rotation (2)
R D R3 B'3; 90-degree Gear Rotation (2)
R D L3 D; 90-degree Gear Rotation (2)
R D L3 D'3; 90-degree Gear Rotation (2)
R D L3 F; 90-degree Gear Rotation (2)
R D L3 F'3; 90-degree Gear Rotation (2)
R D F3 D; 90-degree Gear Rotation (2)
R D F3 D'3; 90-degree Gear Rotation (2)
R D B3 D; 90-degree Gear Rotation (2)
R D B3 D'3; 90-degree Gear Rotation (2)
R D3 R'3 D3; 90-degree Gear Rotation (2)
R D3 R'3 D'; 90-degree Gear Rotation (2)
R D3 R'3 F3; 90-degree Gear Rotation (2)
R D3 R'3 F'; 90-degree Gear Rotation (2)
R D3 L'3 D3; 90-degree Gear Rotation (2)
R D3 L'3 D'; 90-degree Gear Rotation (2)
R D3 L'3 B3; 90-degree Gear Rotation (2)
R D3 L'3 B'; 90-degree Gear Rotation (2)
R D3 F'3 D3; 90-degree Gear Rotation (2)
R D3 F'3 D'; 90-degree Gear Rotation (2)
R D3 B'3 D3; 90-degree Gear Rotation (2)
R D3 B'3 D'; 90-degree Gear Rotation (2)
R D' R'3 D3; 90-degree Gear Rotation (2)
R D' R'3 D'; 90-degree Gear Rotation (2)
R D' R'3 F3; 90-degree Gear Rotation (2)
R D' R'3 F'; 90-degree Gear Rotation (2)
R D' L'3 D3; 90-degree Gear Rotation (2)
R D' L'3 D'; 90-degree Gear Rotation (2)
R D' L'3 B3; 90-degree Gear Rotation (2)
R D' L'3 B'; 90-degree Gear Rotation (2)
R D' F'3 D3; 90-degree Gear Rotation (2)
R D' F'3 D'; 90-degree Gear Rotation (2)
R D' B'3 D3; 90-degree Gear Rotation (2)
R D' B'3 D'; 90-degree Gear Rotation (2)
R D'3 R3 D; 90-degree Gear Rotation (2)
R D'3 R3 D'3; 90-degree Gear Rotation (2)
R D'3 R3 B; 90-degree Gear Rotation (2)
R D'3 R3 B'3; 90-degree Gear Rotation (2)
R D'3 L3 D; 90-degree Gear Rotation (2)
R D'3 L3 D'3; 90-degree Gear Rotation (2)
R D'3 L3 F; 90-degree Gear Rotation (2)
R D'3 L3 F'3; 90-degree Gear Rotation (2)
R D'3 F3 D; 90-degree Gear Rotation (2)
R D'3 F3 D'3; 90-degree Gear Rotation (2)
R D'3 B3 D; 90-degree Gear Rotation (2)
R D'3 B3 D'3; 90-degree Gear Rotation (2)
R F R3 D; 90-degree Gear Rotation (2)
R F R3 D'3; 90-degree Gear Rotation (2)
R F R3 F; 90-degree Gear Rotation (2)
R F R3 F'3; 90-degree Gear Rotation (2)
R F L3 U; 90-degree Gear Rotation (2)
R F L3 U'3; 90-degree Gear Rotation (2)
R F L3 F; 90-degree Gear Rotation (2)
R F L3 F'3; 90-degree Gear Rotation (2)
R F U3 F; 90-degree Gear Rotation (2)
R F U3 F'3; 90-degree Gear Rotation (2)
R F D3 F; 90-degree Gear Rotation (2)
R F D3 F'3; 90-degree Gear Rotation (2)
R F3 R'3 U3; 90-degree Gear Rotation (2)
R F3 R'3 U'; 90-degree Gear Rotation (2)
R F3 R'3 F3; 90-degree Gear Rotation (2)
R F3 R'3 F'; 90-degree Gear Rotation (2)
R F3 L'3 D3; 90-degree Gear Rotation (2)
R F3 L'3 D'; 90-degree Gear Rotation (2)
R F3 L'3 F3; 90-degree Gear Rotation (2)
R F3 L'3 F'; 90-degree Gear Rotation (2)
R F3 U'3 F3; 90-degree Gear Rotation (2)
R F3 U'3 F'; 90-degree Gear Rotation (2)
R F3 D'3 F3; 90-degree Gear Rotation (2)
R F3 D'3 F'; 90-degree Gear Rotation (2)
R F' R'3 U3; 90-degree Gear Rotation (2)
R F' R'3 U'; 90-degree Gear Rotation (2)
R F' R'3 F3; 90-degree Gear Rotation (2)
R F' R'3 F'; 90-degree Gear Rotation (2)
R F' L'3 D3; 90-degree Gear Rotation (2)
R F' L'3 D'; 90-degree Gear Rotation (2)
R F' L'3 F3; 90-degree Gear Rotation (2)
R F' L'3 F'; 90-degree Gear Rotation (2)
R F' U'3 F3; 90-degree Gear Rotation (2)
R F' U'3 F'; 90-degree Gear Rotation (2)
R F' D'3 F3; 90-degree Gear Rotation (2)
R F' D'3 F'; 90-degree Gear Rotation (2)
R F'3 R3 D; 90-degree Gear Rotation (2)
R F'3 R3 D'3; 90-degree Gear Rotation (2)
R F'3 R3 F; 90-degree Gear Rotation (2)
R F'3 R3 F'3; 90-degree Gear Rotation (2)
R F'3 L3 U; 90-degree Gear Rotation (2)
R F'3 L3 U'3; 90-degree Gear Rotation (2)
R F'3 L3 F; 90-degree Gear Rotation (2)
R F'3 L3 F'3; 90-degree Gear Rotation (2)
R F'3 U3 F; 90-degree Gear Rotation (2)
R F'3 U3 F'3; 90-degree Gear Rotation (2)
R F'3 D3 F; 90-degree Gear Rotation (2)
R F'3 D3 F'3; 90-degree Gear Rotation (2)
R B R3 U; 90-degree Gear Rotation (2)
R B R3 U'3; 90-degree Gear Rotation (2)
