
R U R3 U XL U' R'3 U' R' XL -- ; FD rotates 90; BU rotates -90; 
R U R3 U'3 XL U3 R'3 U' R' XL -- ; FD rotates 90; BU rotates -90; 
R U R3 F XL F' R'3 U' R' XL -- ; UB rotates 90; DF rotates -90; 
R U R3 F'3 XL F3 R'3 U' R' XL -- ; UB rotates 90; DF rotates -90; 
R U L3 U XL U' L'3 U' R' XL -- ; UB rotates 90; DF rotates -90; 
R U L3 U'3 XL U3 L'3 U' R' XL -- ; UB rotates 90; DF rotates -90; 
R U L3 B XL B' L'3 U' R' XL -- ; FD rotates 90; BU rotates -90; 
R U L3 B'3 XL B3 L'3 U' R' XL -- ; FD rotates 90; BU rotates -90; 
R U F3 U XL U' F'3 U' R' XL -- ; BU rotates 90; FD rotates -90; 
R U F3 U'3 XL U3 F'3 U' R' XL -- ; BU rotates 90; FD rotates -90; 
R U B3 U XL U' B'3 U' R' XL -- ; DF rotates 90; UB rotates -90; 
R U B3 U'3 XL U3 B'3 U' R' XL -- ; DF rotates 90; UB rotates -90; 
R U3 R'3 U3 XL U'3 R3 U'3 R' XL -- ; DF rotates 90; UB rotates -90; 
R U3 R'3 U' XL U R3 U'3 R' XL -- ; DF rotates 90; UB rotates -90; 
R U3 R'3 B3 XL B'3 R3 U'3 R' XL -- ; BU rotates 90; FD rotates -90; 
R U3 R'3 B' XL B R3 U'3 R' XL -- ; BU rotates 90; FD rotates -90; 
R U3 L'3 U3 XL U'3 L3 U'3 R' XL -- ; BU rotates 90; FD rotates -90; 
R U3 L'3 U' XL U L3 U'3 R' XL -- ; BU rotates 90; FD rotates -90; 
R U3 L'3 F3 XL F'3 L3 U'3 R' XL -- ; DF rotates 90; UB rotates -90; 
R U3 L'3 F' XL F L3 U'3 R' XL -- ; DF rotates 90; UB rotates -90; 
R U3 F'3 U3 XL U'3 F3 U'3 R' XL -- ; FD rotates 90; BU rotates -90; 
R U3 F'3 U' XL U F3 U'3 R' XL -- ; FD rotates 90; BU rotates -90; 
R U3 B'3 U3 XL U'3 B3 U'3 R' XL -- ; UB rotates 90; DF rotates -90; 
R U3 B'3 U' XL U B3 U'3 R' XL -- ; UB rotates 90; DF rotates -90; 
R U' R'3 U3 XL U'3 R3 U R' XL -- ; DF rotates 90; UB rotates -90; 
R U' R'3 U' XL U R3 U R' XL -- ; DF rotates 90; UB rotates -90; 
R U' R'3 B3 XL B'3 R3 U R' XL -- ; BU rotates 90; FD rotates -90; 
R U' R'3 B' XL B R3 U R' XL -- ; BU rotates 90; FD rotates -90; 
R U' L'3 U3 XL U'3 L3 U R' XL -- ; BU rotates 90; FD rotates -90; 
R U' L'3 U' XL U L3 U R' XL -- ; BU rotates 90; FD rotates -90; 
R U' L'3 F3 XL F'3 L3 U R' XL -- ; DF rotates 90; UB rotates -90; 
R U' L'3 F' XL F L3 U R' XL -- ; DF rotates 90; UB rotates -90; 
R U' F'3 U3 XL U'3 F3 U R' XL -- ; FD rotates 90; BU rotates -90; 
R U' F'3 U' XL U F3 U R' XL -- ; FD rotates 90; BU rotates -90; 
R U' B'3 U3 XL U'3 B3 U R' XL -- ; UB rotates 90; DF rotates -90; 
R U' B'3 U' XL U B3 U R' XL -- ; UB rotates 90; DF rotates -90; 
R U'3 R3 U XL U' R'3 U3 R' XL -- ; FD rotates 90; BU rotates -90; 
R U'3 R3 U'3 XL U3 R'3 U3 R' XL -- ; FD rotates 90; BU rotates -90; 
R U'3 R3 F XL F' R'3 U3 R' XL -- ; UB rotates 90; DF rotates -90; 
R U'3 R3 F'3 XL F3 R'3 U3 R' XL -- ; UB rotates 90; DF rotates -90; 
R U'3 L3 U XL U' L'3 U3 R' XL -- ; UB rotates 90; DF rotates -90; 
R U'3 L3 U'3 XL U3 L'3 U3 R' XL -- ; UB rotates 90; DF rotates -90; 
R U'3 L3 B XL B' L'3 U3 R' XL -- ; FD rotates 90; BU rotates -90; 
R U'3 L3 B'3 XL B3 L'3 U3 R' XL -- ; FD rotates 90; BU rotates -90; 
R U'3 F3 U XL U' F'3 U3 R' XL -- ; BU rotates 90; FD rotates -90; 
R U'3 F3 U'3 XL U3 F'3 U3 R' XL -- ; BU rotates 90; FD rotates -90; 
R U'3 B3 U XL U' B'3 U3 R' XL -- ; DF rotates 90; UB rotates -90; 
R U'3 B3 U'3 XL U3 B'3 U3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D R3 D XL D' R'3 D' R' XL -- ; BU rotates 90; FD rotates -90; 
R D R3 D'3 XL D3 R'3 D' R' XL -- ; BU rotates 90; FD rotates -90; 
R D R3 B XL B' R'3 D' R' XL -- ; DF rotates 90; UB rotates -90; 
R D R3 B'3 XL B3 R'3 D' R' XL -- ; DF rotates 90; UB rotates -90; 
R D L3 D XL D' L'3 D' R' XL -- ; DF rotates 90; UB rotates -90; 
R D L3 D'3 XL D3 L'3 D' R' XL -- ; DF rotates 90; UB rotates -90; 
R D L3 F XL F' L'3 D' R' XL -- ; BU rotates 90; FD rotates -90; 
R D L3 F'3 XL F3 L'3 D' R' XL -- ; BU rotates 90; FD rotates -90; 
R D F3 D XL D' F'3 D' R' XL -- ; UB rotates 90; DF rotates -90; 
R D F3 D'3 XL D3 F'3 D' R' XL -- ; UB rotates 90; DF rotates -90; 
R D B3 D XL D' B'3 D' R' XL -- ; FD rotates 90; BU rotates -90; 
R D B3 D'3 XL D3 B'3 D' R' XL -- ; FD rotates 90; BU rotates -90; 
R D3 R'3 D3 XL D'3 R3 D'3 R' XL -- ; UB rotates 90; DF rotates -90; 
R D3 R'3 D' XL D R3 D'3 R' XL -- ; UB rotates 90; DF rotates -90; 
R D3 R'3 F3 XL F'3 R3 D'3 R' XL -- ; FD rotates 90; BU rotates -90; 
R D3 R'3 F' XL F R3 D'3 R' XL -- ; FD rotates 90; BU rotates -90; 
R D3 L'3 D3 XL D'3 L3 D'3 R' XL -- ; FD rotates 90; BU rotates -90; 
R D3 L'3 D' XL D L3 D'3 R' XL -- ; FD rotates 90; BU rotates -90; 
R D3 L'3 B3 XL B'3 L3 D'3 R' XL -- ; UB rotates 90; DF rotates -90; 
R D3 L'3 B' XL B L3 D'3 R' XL -- ; UB rotates 90; DF rotates -90; 
R D3 F'3 D3 XL D'3 F3 D'3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D3 F'3 D' XL D F3 D'3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D3 B'3 D3 XL D'3 B3 D'3 R' XL -- ; BU rotates 90; FD rotates -90; 
R D3 B'3 D' XL D B3 D'3 R' XL -- ; BU rotates 90; FD rotates -90; 
R D' R'3 D3 XL D'3 R3 D R' XL -- ; UB rotates 90; DF rotates -90; 
R D' R'3 D' XL D R3 D R' XL -- ; UB rotates 90; DF rotates -90; 
R D' R'3 F3 XL F'3 R3 D R' XL -- ; FD rotates 90; BU rotates -90; 
R D' R'3 F' XL F R3 D R' XL -- ; FD rotates 90; BU rotates -90; 
R D' L'3 D3 XL D'3 L3 D R' XL -- ; FD rotates 90; BU rotates -90; 
R D' L'3 D' XL D L3 D R' XL -- ; FD rotates 90; BU rotates -90; 
R D' L'3 B3 XL B'3 L3 D R' XL -- ; UB rotates 90; DF rotates -90; 
R D' L'3 B' XL B L3 D R' XL -- ; UB rotates 90; DF rotates -90; 
R D' F'3 D3 XL D'3 F3 D R' XL -- ; DF rotates 90; UB rotates -90; 
R D' F'3 D' XL D F3 D R' XL -- ; DF rotates 90; UB rotates -90; 
R D' B'3 D3 XL D'3 B3 D R' XL -- ; BU rotates 90; FD rotates -90; 
R D' B'3 D' XL D B3 D R' XL -- ; BU rotates 90; FD rotates -90; 
R D'3 R3 D XL D' R'3 D3 R' XL -- ; BU rotates 90; FD rotates -90; 
R D'3 R3 D'3 XL D3 R'3 D3 R' XL -- ; BU rotates 90; FD rotates -90; 
R D'3 R3 B XL B' R'3 D3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D'3 R3 B'3 XL B3 R'3 D3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D'3 L3 D XL D' L'3 D3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D'3 L3 D'3 XL D3 L'3 D3 R' XL -- ; DF rotates 90; UB rotates -90; 
R D'3 L3 F XL F' L'3 D3 R' XL -- ; BU rotates 90; FD rotates -90; 
R D'3 L3 F'3 XL F3 L'3 D3 R' XL -- ; BU rotates 90; FD rotates -90; 
R D'3 F3 D XL D' F'3 D3 R' XL -- ; UB rotates 90; DF rotates -90; 
R D'3 F3 D'3 XL D3 F'3 D3 R' XL -- ; UB rotates 90; DF rotates -90; 
R D'3 B3 D XL D' B'3 D3 R' XL -- ; FD rotates 90; BU rotates -90; 
R D'3 B3 D'3 XL D3 B'3 D3 R' XL -- ; FD rotates 90; BU rotates -90; 
R F R3 D XL D' R'3 F' R' XL -- ; FU rotates 90; BD rotates -90; 
R F R3 D'3 XL D3 R'3 F' R' XL -- ; FU rotates 90; BD rotates -90; 
R F R3 F XL F' R'3 F' R' XL -- ; DB rotates 90; UF rotates -90; 
R F R3 F'3 XL F3 R'3 F' R' XL -- ; DB rotates 90; UF rotates -90; 
R F L3 U XL U' L'3 F' R' XL -- ; DB rotates 90; UF rotates -90; 
R F L3 U'3 XL U3 L'3 F' R' XL -- ; DB rotates 90; UF rotates -90; 
R F L3 F XL F' L'3 F' R' XL -- ; FU rotates 90; BD rotates -90; 
R F L3 F'3 XL F3 L'3 F' R' XL -- ; FU rotates 90; BD rotates -90; 
R F U3 F XL F' U'3 F' R' XL -- ; BD rotates 90; FU rotates -90; 
R F U3 F'3 XL F3 U'3 F' R' XL -- ; BD rotates 90; FU rotates -90; 
R F D3 F XL F' D'3 F' R' XL -- ; UF rotates 90; DB rotates -90; 
R F D3 F'3 XL F3 D'3 F' R' XL -- ; UF rotates 90; DB rotates -90; 
R F3 R'3 U3 XL U'3 R3 F'3 R' XL -- ; UF rotates 90; DB rotates -90; 
R F3 R'3 U' XL U R3 F'3 R' XL -- ; UF rotates 90; DB rotates -90; 
R F3 R'3 F3 XL F'3 R3 F'3 R' XL -- ; BD rotates 90; FU rotates -90; 
R F3 R'3 F' XL F R3 F'3 R' XL -- ; BD rotates 90; FU rotates -90; 
R F3 L'3 D3 XL D'3 L3 F'3 R' XL -- ; BD rotates 90; FU rotates -90; 
R F3 L'3 D' XL D L3 F'3 R' XL -- ; BD rotates 90; FU rotates -90; 
R F3 L'3 F3 XL F'3 L3 F'3 R' XL -- ; UF rotates 90; DB rotates -90; 
R F3 L'3 F' XL F L3 F'3 R' XL -- ; UF rotates 90; DB rotates -90; 
R F3 U'3 F3 XL F'3 U3 F'3 R' XL -- ; FU rotates 90; BD rotates -90; 
R F3 U'3 F' XL F U3 F'3 R' XL -- ; FU rotates 90; BD rotates -90; 
